Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
Seq_1,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
Seq_2,0.27,0.0,0.0,0.27,Non-Toxin,0.196
Seq_3,0.205,0.0,0.0,0.205,Non-Toxin,0.111
Seq_4,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
Seq_5,0.29,0.0,0.0,0.29,Non-Toxin,0.222
Seq_6,0.33,0.0,0.0,0.33,Non-Toxin,0.275
Seq_7,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
Seq_8,0.07,0.0,0.0,0.07,Non-Toxin,0.0
Seq_9,0.15,0.0,0.0,0.15,Non-Toxin,0.039
Seq_10,0.285,0.0,-0.5,0.0,Non-Toxin,0.0
Seq_11,0.535,0.0,0.0,0.535,Toxin,0.543
